School,City,State,Type,Conference,Division
Rider University,Lawrenceville,New Jersey,Private,Metro Atlantic Athletic Conference,NCAA D1
Rutgers University,Piscataway,New Jersey,Public,Big Ten Conference,NCAA D1
Sacred Heart University,Fairfield,Connecticut,Private,Metro Atlantic Athletic Conference,NCAA D1
Saint Joseph's University,Philadelphia,Pennsylvania,Private,Atlantic 10 Conference,NCAA D1
Saint Louis University,St. Louis,Missouri,Private,Atlantic 10 Conference,NCAA D1
Saint Mary's College of California,Moraga,California,Private,West Coast Conference,NCAA D1
Saint Peter's University,Jersey City,New Jersey,Private,Metro Atlantic Athletic Conference,NCAA D1
Sam Houston State University,Huntsville,Texas,Public,Conference USA,NCAA D1
Samford University,Birmingham,Alabama,Private,Southern Conference,NCAA D1
San Diego State University,San Diego,California,Public,Mountain West Conference,NCAA D1
San Jose State University,San Jose,California,Public,Mountain West Conference,NCAA D1
Santa Clara University,Santa Clara,California,Private,West Coast Conference,NCAA D1
Seattle University,Seattle,Washington,Private,Western Athletic Conference,NCAA D1
Seton Hall University,South Orange,New Jersey,Private,Big East Conference,NCAA D1
Siena College,Loudonville,New York,Private,Metro Atlantic Athletic Conference,NCAA D1
South Dakota State University,Brookings,South Dakota,Public,The Summit League,NCAA D1
Southeast Missouri State University,Cape Girardeau,Missouri,Public,Ohio Valley Conference,NCAA D1
Southeastern Louisiana University,Hammond,Louisiana,Public,Southland Conference,NCAA D1
Southern Illinois University Carbondale,Carbondale,Illinois,Public,Missouri Valley Conference,NCAA D1
Southern Illinois University Edwardsville,Edwardsville,Illinois,Public,Ohio Valley Conference,NCAA D1
Southern University & A&M College,Baton Rouge,Louisiana,Public,Southwestern Athletic Conference,NCAA D1
St. Bonaventure University,Saint Bonaventure,New York,Private,Atlantic 10 Conference,NCAA D1
St. John's University – New York,Queens,New York,Private,Big East Conference,NCAA D1
Stanford University,Stanford,California,Private,Atlantic Coast Conference,NCAA D1
Stephen F Austin State University,Nacogdoches,Texas,Public,Southland Conference,NCAA D1
Stetson University,Deland,Florida,Private,Atlantic Sun Conference,NCAA D1
Stonehill College,Easton,Massachusetts,Private,Northeast Conference,NCAA D1
SUNY Binghamton University,Vestal,New York,Public,America East Conference,NCAA D1
SUNY Stony Brook University,Stony Brook,New York,Public,Colonial Athletic Association,NCAA D1
SUNY University at Albany,Albany,New York,Public,American East Conference,NCAA D1
Tarleton State University,Stephenville,Texas,Public,Western Athletic Conference,NCAA D1
Tennessee Technological University,Cookeville,Tennessee,Public,Ohio Valley Conference,NCAA D1
Texas A&M University,College Station,Texas,Public,Southeastern Conference,NCAA D1
Texas A&M University – Corpus Christi,Corpus Christi,Texas,Public,Southland Conference,NCAA D1
Texas Christian University,Fort Worth,Texas,Private,Big 12 Conference,NCAA D1
Texas Southern University,Houston,Texas,Public,Southwestern Athletic Conference,NCAA D1
Texas State University,San Marcos,Texas,Public,Sun Belt Conference,NCAA D1
Texas Tech University,Lubbock,Texas,Public,Big 12 Conference,NCAA D1
The Citadel,Charleston,South Carolina,Public,Southern Conference,NCAA D1
Towson University,Towson,Maryland,Public,Colonial Athletic Association,NCAA D1
Troy University,Troy,Alabama,Public,Sun Belt Conference,NCAA D1
Tulane University,New Orleans,Louisiana,Private,American Athletic Conference,NCAA D1
United States Air Force Academy,Usaf Academy,Colorado,Public,Mountain West Conference,NCAA D1
United States Military Academy,West Point,New York,Public,American Athletic Conference,NCAA D1
United States Naval Academy,Annapolis,Maryland,Public,American Athletic Conference,NCAA D1
University of Akron,Akron,Ohio,Public,Mid-American Conference,NCAA D1
University of Alabama,Tuscaloosa,Alabama,Public,Southeastern Conference,NCAA D1
University of Alabama – Birmingham,Birmingham,Alabama,Public,American Athletic Conference,NCAA D1
University of Arizona,Tucson,Arizona,Public,Big 12 Conference,NCAA D1
University of Arkansas,Fayetteville,Arkansas,Public,Southeastern Conference,NCAA D1
University of Arkansas at Little Rock,Little Rock,Arkansas,Public,Ohio Valley Conference,NCAA D1
University of Arkansas at Pine Bluff,Pine Bluff,Arkansas,Public,Southwestern Athletic Conference,NCAA D1
University of California – Berkeley,Berkeley,California,Public,Atlantic Coast Conference,NCAA D1
University of California – Davis,Davis,California,Public,Big Sky Conference,NCAA D1
University of California – Irvine,Irvine,California,Public,Big West Conference,NCAA D1
University of California – Los Angeles – UCLA,Los Angeles,California,Public,Big ten conference,NCAA D1
University of California – Riverside,Riverside,California,Public,Big West Conference,NCAA D1
University of California – San Diego,La Jolla,California,Public,Big West Conference,NCAA D1
University of California – Santa Barbara,Santa Barbara,California,Public,Big West Conference,NCAA D1
University of Central Arkansas,Conway,Arkansas,Public,Atlantic Sun Conference,NCAA D1
University of Central Florida,Orlando,Florida,Public,Big 12 Conference,NCAA D1
University of Cincinnati,Cincinnati,Ohio,Public,Big 12 Conference,NCAA D1
University of Connecticut,Storrs,Connecticut,Public,Big East Conference,NCAA D1
University of Dayton,Dayton,Ohio,Private,Atlantic 10 Conference,NCAA D1
University of Delaware,Newark,Delaware,Public,Conference USA,NCAA D1
University of Evansville,Evansville,Indiana,Private,Missouri Valley Conference,NCAA D1
University of Florida,Gainesville,Florida,Public,Southeastern Conference,NCAA D1
University of Georgia,Athens,Georgia,Public,Southeastern Conference,NCAA D1
University of Hawaii at Manoa,Honolulu,Hawaii,Public,Mountain West Conference,NCAA D1
University of Houston,Houston,Texas,Public,Big 12 Conference,NCAA D1
University of Illinois,Urbana,Illinois,Public,Big Ten Conference,NCAA D1
University of Illinois at Chicago,Chicago,Illinois,Public,Missouri Valley Conference,NCAA D1
University of Iowa,Iowa City,Iowa,Public,Big Ten Conference,NCAA D1
University of Kansas,Lawrence,Kansas,Public,Big 12 Conference,NCAA D1
University of Kentucky,Lexington,Kentucky,Public,Southeastern Conference,NCAA D1
University of Louisiana,Lafayette,Louisiana,Public,Sun Belt Conference,NCAA D1
University of Louisiana – Monroe,Monroe,Louisiana,Public,Sun Belt Conference,NCAA D1
University of Louisville,Louisville,Kentucky,Public,Atlantic Coast Conference,NCAA D1
University of Maine,Orono,Maine,Public,American East Conference,NCAA D1
University of Maryland,College Park,Maryland,Public,Big Ten Conference,NCAA D1
University of Maryland – Baltimore County,Baltimore,Maryland,Public,America East Conference,NCAA D1
University of Maryland Eastern Shore,Princess Anne,Maryland,Public,Mid-Eastern Athletic Conference,NCAA D1
University of Massachusetts – Amherst,Amherst,Massachusetts,Public,Mid-america Conference,NCAA D1
University of Massachusetts – Lowell,Lowell,Massachusetts,Public,America East Conference,NCAA D1
University of Memphis,Memphis,Tennessee,Public,American Athletic Conference,NCAA D1
University of Miami,Coral Gables,Florida,Private,Atlantic Coast Conference,NCAA D1
University of Michigan,Ann Arbor,Michigan,Public,Big Ten Conference,NCAA D1
University of Minnesota,Minneapolis,Minnesota,Public,Big Ten Conference,NCAA D1
University of Mississippi,University,Mississippi,Public,Southeastern Conference,NCAA D1
University of Missouri,Columbia,Missouri,Public,Southeastern Conference,NCAA D1
University of Nebraska,Lincoln,Nebraska,Public,Big Ten Conference,NCAA D1
University of Nebraska at Omaha,Omaha,Nebraska,Public,The Summit League,NCAA D1
University of Nevada – Las Vegas,Las Vegas,Nevada,Public,Mountain West Conference,NCAA D1
University of Nevada – Reno,Reno,Nevada,Public,Mountain West Conference,NCAA D1
University of New Haven,West Haven,Connecticut,Private,Northeast Conference,NCAA D1
University of New Mexico,Albuquerque,New Mexico,Public,Mountain West Conference,NCAA D1
University of New Orleans,New Orleans,Louisiana,Public,Southland Conference,NCAA D1
University of North Alabama,Florence,Alabama,Public,Atlantic Sun Conference,NCAA D1
University of North Carolina – Greensboro,Greensboro,North Carolina,Public,Southern Conference,NCAA D1
University of North Carolina – Wilmington,Wilmington,North Carolina,Public,Colonial Athletic Association,NCAA D1
University of North Carolina Asheville,Asheville,North Carolina,Public,Big South Conference,NCAA D1
University of North Carolina at Chapel Hill,Chapel Hill,North Carolina,Public,Atlantic Coast Conference,NCAA D1
University of North Carolina at Charlotte,Charlotte,North Carolina,Public,American Athletic Conference,NCAA D1
University of North Florida,Jacksonville,Florida,Public,Atlantic Sun Conference,NCAA D1
University of Northern Colorado,Greeley,Colorado,Public,Big Sky Conference,NCAA D1
University of Notre Dame,Notre Dame,Indiana,Private,Atlantic Coast Conference,NCAA D1
University of Oklahoma,Norman,Oklahoma,Public,Southeastern Conference,NCAA D1
University of Oregon,Eugene,Oregon,Public,Big ten conference,NCAA D1
University of Pennsylvania – Penn,Philadelphia,Pennsylvania,Private,Ivy League,NCAA D1
University of Pittsburgh,Pittsburgh,Pennsylvania,Public,Atlantic Coast Conference,NCAA D1
University of Portland,Portland,Oregon,Private,West Coast Conference,NCAA D1
University of Rhode Island,Kingston,Rhode Island,Public,Colonial Athletic Association,NCAA D1
University of Richmond,University Of Richmond,Virginia,Private,Alantic 10 conference,NCAA D1
University of San Diego,San Diego,California,Private,West Coast Conference,NCAA D1
University of San Francisco,San Francisco,California,Private,West Coast Conference,NCAA D1
University of South Alabama,Mobile,Alabama,Public,Sun Belt Conference,NCAA D1
University of South Carolina,Columbia,South Carolina,Public,Southeastern Conference,NCAA D1
University of South Carolina – Upstate,Spartanburg,South Carolina,Public,Big South Conference,NCAA D1
University of South Florida,Tampa,Florida,Public,American Athletic Conference,NCAA D1
University of Southern California,Los Angeles,California,Private,Big ten conference,NCAA D1
University of Southern Indiana,Evansville,Indiana,Public,Ohio Valley Conference,NCAA D1
University of Southern Mississippi,Hattiesburg,Mississippi,Public,Sun Belt Conference,NCAA D1
University of St. Thomas – Minnesota,Saint Paul,Minnesota,Private,The Summit League,NCAA D1
University of Tennessee,Knoxville,Tennessee,Public,Southeastern Conference,NCAA D1
University of Tennessee – Martin,Martin,Tennessee,Public,Ohio Valley Conference,NCAA D1
University of Texas – Arlington,Arlington,Texas,Public,Western Athletic Conference,NCAA D1
University of Texas – Austin,Austin,Texas,Public,Southeastern Conference,NCAA D1
University of Texas – Rio Grande Valley,Edinburg,Texas,Public,Western Athletic Conference,NCAA D1
University of Texas – San Antonio,San Antonio,Texas,Public,American Athletic Conference,NCAA D1
University of the Incarnate Word,San Antonio,Texas,Private,Southland Conference,NCAA D1
University of the Pacific,Stockton,California,Private,West Coast Conference,NCAA D1
University of Toledo,Toledo,Ohio,Public,Mid-American Conference,NCAA D1
University of Utah,Salt Lake City,Utah,Public,Big 12 Conference,NCAA D1
University of Virginia,Charlottesville,Virginia,Public,Atlantic Coast Conference,NCAA D1
University of Washington,Seattle,Washington,Public,Big Ten Conference,NCAA D1
University of West Georgia,Carrollton,Georgia,Public,United Athletic Conference,NCAA D1
University of Wisconsin – Milwaukee,Milwaukee,Wisconsin,Public,Horizon League,NCAA D1
